model,perturbation,norm_ratio,abs_ratio,top20_recall,top20_sign,top20_corr
CondAE,CFL1,0.5285518169403076,0.49465635418891907,0.6,1.0,0.48985784493922824
CondAE,CHAF1B,0.8370704054832458,0.7545134425163269,0.65,0.95,0.9243036319741231
CondAE,CHCHD1,0.5052545666694641,0.42615723609924316,0.3,0.95,0.8552425873019492
CondAE,CHCHD2,0.47655609250068665,0.4004826843738556,0.3,0.95,0.819477781346897
CondAE,CHCHD4,0.8731347322463989,0.8057584166526794,0.7,1.0,0.9609343187025245
CondAE,CHD4,0.49280959367752075,0.4167286455631256,0.2,0.9,0.6305104886447945
CondAE,CHEK1,0.7930305004119873,0.7054749131202698,0.6,1.0,0.9607964754753713
CondAE,CHERP,0.6679315567016602,0.5861890912055969,0.4,1.0,0.8478677815553463
CondAE,CHMP4B,0.5744796991348267,0.4823906719684601,0.25,0.95,0.8095652585347933
CondAE,CHMP6,0.8632814288139343,0.8351049423217773,0.65,1.0,0.9097228375534886
CondAE,CHMP7,0.47394469380378723,0.4068976640701294,0.25,0.95,0.8020092231439874
CondAE,CHORDC1,0.4901471436023712,0.3963838517665863,0.35,0.85,0.6347017341391378
CondAE,CHTOP,0.4275122284889221,0.3436589539051056,0.3,0.85,0.6779343965321409
CondAE,CIAO1,0.4846794307231903,0.4314326047897339,0.4,1.0,0.7853693902409731
CondAE,CIAPIN1,0.8597486615180969,0.8310415744781494,0.7,1.0,0.9591528087771982
CondAE,CLASRP,0.6073033213615417,0.535514235496521,0.3,0.85,0.7837298147963674
CondAE,CLPB,0.4410528838634491,0.35610803961753845,0.4,0.95,0.8110724091893566
CondAE,CMPK1,0.4299226999282837,0.357791006565094,0.2,0.95,0.7244238399057445
CondAE,CMTR1,0.6398435235023499,0.5421708226203918,0.4,1.0,0.9297449146678851
CondAE,CMTR2,0.5331793427467346,0.4647722840309143,0.45,1.0,0.8973138479058399
CondAE,CNN2,0.40094175934791565,0.3424420952796936,0.15,0.85,0.5316037785254936
CondAE,CNOT1,0.8159672617912292,0.8226652145385742,0.45,1.0,0.9605573839187943
CondAE,CNOT10,0.6166826486587524,0.5722025036811829,0.4,1.0,0.8471295626627788
CondAE,CNOT9,0.4402744472026825,0.3678610026836395,0.2,1.0,0.6813343276679507
CondAE,COA5,0.6850987672805786,0.5874407291412354,0.45,1.0,0.8516157259791388
CondAE,COASY,0.4476357400417328,0.3689211308956146,0.25,0.9,0.6958520599328925
CondAE,COG1,0.5765506625175476,0.4708229601383209,0.3,1.0,0.9246054729024028
CondAE,COG2,0.6954911947250366,0.6553534865379333,0.6,1.0,0.9511641447377427
