model,perturbation,real_delta_norm,pred_delta_norm,norm_ratio,abs_ratio,top20_sign,top20_recall
VAE,PDCD5,2.0939121,1.2684923,0.60580015,0.4907886,0.95,0.45
VAE,PDCD6,2.7552228,1.4219258,0.5160838,0.47391424,0.95,0.2
VAE,PDCD6IP,1.8501008,0.8552332,0.46226305,0.36058274,0.95,0.3
VAE,PDHA1,2.4189005,1.3197004,0.5455786,0.4800807,0.95,0.45
VAE,PDRG1,4.4421973,3.408925,0.76739615,0.7157479,1.0,0.6
VAE,PELP1,6.712279,5.8677354,0.8741793,0.8286002,1.0,0.75
VAE,PES1,7.502975,6.634153,0.88420296,0.8429703,1.0,0.8
VAE,PET117,2.600553,1.612596,0.62009734,0.5450073,1.0,0.4
VAE,PEX19,2.9326668,1.8249292,0.62227637,0.5394794,1.0,0.5
VAE,PFDN2,5.8189106,4.62859,0.7954393,0.7485422,0.95,0.55
VAE,PFDN4,2.441734,1.1880912,0.4865768,0.41300827,0.95,0.3
